Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method
2024-04-28,12:05:20,"""CNR1249800""",Completed,"""CID4212363""",Go Sedan,Khan Market,Greater Kailash,13.0,21.6,,,,,,,437.0,42.22,3.6,4.6,UPI
2024-12-28,16:19:37,"""CNR4147228""",Cancelled,"""CID9836238""",Premier Sedan,Sultanpur,IIT Delhi,11.6,19.5,,,,,,,307.0,45.39,4.1,4.6,UPI
2024-08-09,15:15:45,"""CNR7305929""",Completed,"""CID2682716""",Bike,Tis Hazari,Khan Market,10.4,23.3,,,,,,,497.0,16.37,4.1,4.3,Cash
2024-09-10,09:07:28,"""CNR7702943""",Completed,"""CID8666686""",Go Mini,Rajouri Garden,Sikanderpur,12.8,24.8,,,,,,,72.0,35.05,4.6,4.8,UPI
2024-06-06,11:03:17,"""CNR9981916""",Completed,"""CID5798277""",eBike,Shahdara,Gurgaon Railway Station,7.1,43.5,,,,,,,409.0,49.94,4.4,4.6,Cash
2024-08-11,21:54:09,"""CNR8800141""",Completed,"""CID7097857""",Auto,Dwarka Mor,Chhatarpur,5.4,29.9,,,,,,,1319.0,25.33,4.7,4.4,UPI
2024-02-06,10:28:45,"""CNR1124541""",Completed,"""CID8304414""",Go Sedan,INA Market,South Extension,6.6,43.0,,,,,,,577.0,27.93,4.8,4.2,Uber Wallet
2024-09-20,16:46:38,"""CNR3486515""",Cancelled by Customer,"""CID6871940""",Bike,Shahdara,DLF City Court,13.9,,1.0,Driver is not moving towards pickup location,,,,,,,,,
2024-05-26,20:02:27,"""CNR8618977""",Completed,"""CID1958520""",Premier Sedan,Shastri Park,Rithala,9.7,31.4,,,,,,,325.0,25.67,3.7,4.3,Debit Card
2024-10-31,23:10:07,"""CNR2476081""",Cancelled by Customer,"""CID3394822""",Uber XL,Punjabi Bagh,IMT Manesar,9.0,,1.0,Wrong Address,,,,,,,,,
2024-06-15,12:58:41,"""CNR7500454""",Completed,"""CID6010036""",Premier Sedan,Ramesh Nagar,Shahdara,12.2,25.3,,,,,,,353.0,9.0,4.2,4.2,UPI
2024-03-31,19:00:51,"""CNR7320730""",Completed,"""CID5065449""",eBike,Punjabi Bagh,Sarai Kale Khan,5.8,20.7,,,,,,,1309.0,4.63,4.4,4.9,Cash
2024-09-13,09:24:56,"""CNR1310231""",Incomplete,"""CID1645862""",Bike,Tilak Nagar,Lajpat Nagar,6.1,23.7,,,,,1.0,Other Issue,353.0,16.15,,,UPI
2024-07-25,22:05:15,"""CNR8067684""",Completed,"""CID4456245""",Go Sedan,Mehrauli,Sarojini Nagar,10.2,40.0,,,,,,,465.0,22.34,3.8,4.7,UPI
2024-05-28,04:12:39,"""CNR8838290""",Cancelled by Driver,"""CID6301657""",Bike,Tilak Nagar,Sarai Kale Khan,3.0,,,,1.0,More than permitted people in there,,,,,,,
2024-05-13,12:23:13,"""CNR7893433""",Cancelled by Driver,"""CID5602635""",Go Mini,Nehru Place,Lajpat Nagar,8.8,,,,1.0,Personal & Car related issues,,,,,,,
2024-07-08,11:59:44,"""CNR7146408""",Completed,"""CID4489233""",Premier Sedan,Preet Vihar,Vatika Chowk,3.7,28.6,,,,,,,86.0,12.26,4.3,4.4,UPI
2024-11-14,11:11:30,"""CNR3964256""",Completed,"""CID8818706""",Go Sedan,Kalkaji,Kaushambi,12.6,20.7,,,,,,,219.0,16.74,4.2,4.4,Credit Card
2024-02-10,17:16:11,"""CNR8311923""",Cancelled by Customer,"""CID4189697""",Go Sedan,Peeragarhi,Noida Sector 62,5.7,,1.0,Driver is not moving towards pickup location,,,,,,,,,
2024-12-23,20:01:30,"""CNR6363304""",Cancelled,"""CID4697555""",Go Sedan,Kalkaji,Ghitorni,5.2,24.2,,,,,,,236.0,12.5,4.3,3.2,Cash
2024-08-19,14:54:12,"""CNR9918956""",No Driver Found,"""CID4457571""",eBike,Central Secretariat,Tughlakabad,,,,,,,,,,,,,
2024-05-06,19:58:42,"""CNR7853140""",Completed,"""CID8851131""",Premier Sedan,Noida Film City,Anand Vihar ISBT,13.1,30.6,,,,,,,267.0,28.24,4.3,4.9,UPI
2024-01-02,21:40:33,"""CNR5060204""",Cancelled by Customer,"""CID4505010""",Auto,Lajpat Nagar,Paharganj,13.9,,1.0,Wrong Address,,,,,,,,,
2024-12-28,18:11:21,"""CNR4889694""",Cancelled,"""CID2508087""",Premier Sedan,Ghaziabad,Noida Sector 62,10.5,25.3,,,,,,,915.0,41.02,4.3,4.7,Uber Wallet
2024-10-13,08:18:07,"""CNR1044461""",Cancelled by Driver,"""CID9219266""",Auto,Huda City Centre,Moti Nagar,10.7,,,,1.0,More than permitted people in there,,,,,,,
2024-11-03,20:02:43,"""CNR6464419""",No Driver Found,"""CID5040212""",Bike,Khandsa,Narsinghpur,,,,,,,,,,,,,
2024-04-14,14:33:55,"""CNR1280223""",Cancelled by Customer,"""CID4423035""",eBike,Inderlok,IFFCO Chowk,10.3,,1.0,Wrong Address,,,,,,,,,
2024-11-30,21:49:38,"""CNR1567449""",Completed,"""CID1718440""",eBike,Gurgaon Sector 56,Keshav Puram,7.8,20.8,,,,,,,1103.0,17.81,4.6,4.4,Uber Wallet
2024-10-08,19:41:44,"""CNR2535265""",Cancelled by Customer,"""CID6659794""",Auto,RK Puram,Moolchand,11.3,,1.0,Driver asked to cancel,,,,,,,,,
2024-03-13,10:57:35,"""CNR5037080""",Completed,"""CID2310108""",Auto,Saket A Block,Connaught Place,11.4,42.1,,,,,,,442.0,42.54,4.5,4.9,Credit Card
2024-03-20,00:01:54,"""CNR3756586""",Completed,"""CID6829492""",Bike,Ashok Park Main,Kaushambi,7.6,25.7,,,,,,,289.0,21.8,4.4,4.6,UPI
2024-08-28,17:48:55,"""CNR7432979""",Cancelled by Driver,"""CID4615473""",Auto,Lok Kalyan Marg,Ramesh Nagar,7.2,,,,1.0,More than permitted people in there,,,,,,,
2024-06-11,12:23:51,"""CNR7909621""",Completed,"""CID4734680""",Premier Sedan,Faridabad Sector 15,Preet Vihar,7.7,29.7,,,,,,,571.0,46.71,5.0,4.9,UPI
2024-05-10,17:33:35,"""CNR6293003""",Completed,"""CID1380740""",Premier Sedan,Okhla,Inderlok,12.3,40.5,,,,,,,148.0,9.42,4.3,4.9,UPI
2024-05-10,09:22:24,"""CNR9194301""",Completed,"""CID2405425""",eBike,Jasola,Pulbangash,9.6,23.7,,,,,,,841.0,25.64,4.4,4.6,UPI
2024-06-15,19:47:10,"""CNR3639625""",Completed,"""CID8871428""",Go Mini,Vinobapuri,Noida Sector 18,3.0,36.7,,,,,,,1087.0,47.73,4.1,4.3,Credit Card
2024-09-28,19:20:27,"""CNR1107953""",Completed,"""CID6474683""",Go Mini,Tughlakabad,Laxmi Nagar,7.7,41.4,,,,,,,530.0,15.87,4.1,4.6,Cash
2024-03-31,16:17:15,"""CNR5816927""",Completed,"""CID7759206""",Premier Sedan,Sikanderpur,Ashok Park Main,3.4,41.8,,,,,,,1125.0,48.29,3.5,4.6,UPI
2024-03-16,21:39:54,"""CNR1100256""",Completed,"""CID1186510""",Go Sedan,Civil Lines Gurgaon,Dilshad Garden,10.2,40.9,,,,,,,1433.0,44.99,3.7,4.8,Uber Wallet
2024-10-09,23:34:18,"""CNR3108661""",Cancelled by Driver,"""CID4820184""",Premier Sedan,Madipur,Botanical Garden,8.1,,,,1.0,Personal & Car related issues,,,,,,,
2024-06-07,09:27:24,"""CNR6617170""",Completed,"""CID7147593""",Auto,Rohini,Jama Masjid,12.2,35.1,,,,,,,168.0,35.9,3.9,5.0,UPI
2024-04-26,13:58:52,"""CNR3620999""",Incomplete,"""CID3672872""",Auto,Nawada,Jahangirpuri,7.4,25.3,,,,,1.0,Customer Demand,169.0,6.25,,,Uber Wallet
2024-07-05,06:37:27,"""CNR3316492""",No Driver Found,"""CID3470136""",Bike,Sadar Bazar Gurgaon,IIT Delhi,,,,,,,,,,,,,
2024-02-11,12:01:41,"""CNR6385168""",Cancelled by Driver,"""CID9337774""",Auto,Ashram,Sarai Kale Khan,10.1,,,,1.0,Customer related issue,,,,,,,
2024-07-03,17:40:51,"""CNR5536038""",Completed,"""CID4527436""",Premier Sedan,Ardee City,Delhi Gate,8.7,15.1,,,,,,,806.0,28.31,4.0,5.0,Cash
2024-06-12,09:10:59,"""CNR1251634""",Cancelled by Driver,"""CID7559698""",Go Sedan,Shivaji Park,Gurgaon Sector 29,8.0,,,,1.0,Personal & Car related issues,,,,,,,
2024-12-22,18:30:59,"""CNR2963325""",Completed,"""CID9286929""",Bike,Kaushambi,India Gate,2.3,27.7,,,,,,,89.0,25.49,4.2,4.9,Cash
2024-10-10,12:02:54,"""CNR2466645""",Completed,"""CID4238356""",Auto,Barakhamba Road,Punjabi Bagh,4.4,30.1,,,,,,,691.0,3.68,4.2,3.9,UPI
2024-08-03,20:30:33,"""CNR7435136""",Completed,"""CID6305235""",Auto,Rohini West,Lajpat Nagar,12.1,24.8,,,,,,,509.0,25.0,3.8,3.7,Uber Wallet
2024-05-07,15:34:06,"""CNR2469139""",Completed,"""CID7431252""",eBike,Badshahpur,Kalkaji,10.4,33.0,,,,,,,93.0,10.17,3.1,4.8,UPI
2024-07-20,15:20:09,"""CNR3093191""",No Driver Found,"""CID2493431""",Bike,Nehru Place,Connaught Place,,,,,,,,,,,,,
2024-05-27,04:56:23,"""CNR1050521""",Incomplete,"""CID5655412""",Premier Sedan,Noida Film City,Faridabad Sector 15,5.5,22.4,,,,,1.0,Vehicle Breakdown,246.0,9.94,,,UPI
2024-08-30,12:10:59,"""CNR5425919""",Completed,"""CID7866542""",Go Sedan,Golf Course Road,Anand Vihar ISBT,2.1,16.3,,,,,,,276.0,10.64,4.9,4.3,Debit Card
2024-04-15,06:21:20,"""CNR4163470""",Cancelled by Customer,"""CID4359314""",Auto,IGNOU Road,Udyog Bhawan,17.2,,1.0,Wrong Address,,,,,,,,,
2024-02-09,08:32:12,"""CNR5618943""",Incomplete,"""CID1656841""",Go Mini,Karol Bagh,Ghaziabad,3.8,29.3,,,,,1.0,Customer Demand,373.0,2.13,,,Credit Card
2024-01-12,05:20:44,"""CNR5607730""",Completed,"""CID1654257""",Auto,Noida Sector 62,Aya Nagar,9.3,30.4,,,,,,,270.0,13.28,4.1,4.2,Cash
2024-06-24,15:59:08,"""CNR5770156""",Completed,"""CID5828928""",Go Sedan,Badarpur,Ambience Mall,14.8,16.6,,,,,,,2371.0,48.96,4.5,4.5,Cash
2024-12-16,06:01:56,"""CNR4296866""",Cancelled by Driver,"""CID3243177""",eBike,Gurgaon Railway Station,Jhilmil,5.8,,,,1.0,The customer was coughing/sick,,,,,,,
2024-01-21,11:31:14,"""CNR6795465""",Completed,"""CID8797029""",Go Mini,Anand Vihar ISBT,Gurgaon Sector 29,12.3,31.4,,,,,,,285.0,47.03,3.1,4.6,UPI
2024-12-11,09:32:11,"""CNR8682736""",Cancelled by Customer,"""CID3441980""",Premier Sedan,Raj Nagar Extension,Anand Vihar,16.3,,1.0,Driver asked to cancel,,,,,,,,,
2024-07-12,16:36:45,"""CNR2480576""",Cancelled by Driver,"""CID6685394""",Uber XL,Patel Chowk,Connaught Place,4.6,,,,1.0,More than permitted people in there,,,,,,,
2024-05-26,12:47:39,"""CNR1114555""",Completed,"""CID2136733""",Go Sedan,Khandsa,Kherki Daula Toll,4.9,40.8,,,,,,,1118.0,14.83,4.6,4.3,Debit Card
2024-04-22,10:43:13,"""CNR3553776""",Completed,"""CID3126244""",eBike,Model Town,Saket,13.0,43.1,,,,,,,505.0,39.17,4.6,5.0,Uber Wallet
2024-10-06,15:32:00,"""CNR1482846""",Cancelled by Customer,"""CID5664357""",Premier Sedan,Jhilmil,South Extension,12.4,,1.0,Change of plans,,,,,,,,,
2024-10-23,08:11:09,"""CNR5580156""",No Driver Found,"""CID6368309""",Go Mini,Nawada,Civil Lines Gurgaon,,,,,,,,,,,,,
2024-10-04,19:52:28,"""CNR8500348""",Cancelled by Driver,"""CID6274209""",Auto,Badshahpur,Ghitorni,9.8,,,,1.0,Personal & Car related issues,,,,,,,
2024-12-23,22:58:02,"""CNR4054030""",Cancelled,"""CID7328616""",Auto,Shivaji Park,Mandi House,6.2,40.6,,,,,,,776.0,25.81,4.4,4.6,Cash
2024-02-24,10:21:47,"""CNR3372012""",Completed,"""CID3199655""",Go Sedan,RK Puram,Punjabi Bagh,7.4,26.8,,,,,,,1182.0,40.08,4.7,3.8,Uber Wallet
2024-08-04,09:51:12,"""CNR6668907""",Cancelled by Driver,"""CID8768583""",Go Mini,Saket A Block,Rajiv Chowk,8.2,,,,1.0,More than permitted people in there,,,,,,,
2024-01-04,12:50:57,"""CNR3117927""",Cancelled by Driver,"""CID5613738""",Auto,Shivaji Park,Indirapuram,9.3,,,,1.0,Personal & Car related issues,,,,,,,
2024-12-23,14:23:01,"""CNR8858728""",Cancelled,"""CID6365704""",Auto,Mandi House,Okhla,4.4,17.3,,,,,1.0,Vehicle Breakdown,189.0,2.02,,,Credit Card
2024-09-22,19:38:58,"""CNR2892692""",Cancelled by Driver,"""CID8017971""",eBike,ITO,Lal Quila,6.0,,,,1.0,The customer was coughing/sick,,,,,,,
2024-09-24,11:08:37,"""CNR4191229""",Cancelled by Driver,"""CID7955206""",Go Sedan,Rohini,Bhiwadi,4.8,,,,1.0,More than permitted people in there,,,,,,,
2024-10-06,12:36:00,"""CNR3752626""",Completed,"""CID7132974""",Premier Sedan,Chhatarpur,Hero Honda Chowk,6.6,34.0,,,,,,,507.0,29.93,4.1,5.0,Uber Wallet
2024-05-01,22:43:40,"""CNR9922936""",Cancelled by Driver,"""CID1174811""",Auto,DLF City Court,Moolchand,7.2,,,,1.0,Personal & Car related issues,,,,,,,
2024-12-16,11:57:34,"""CNR1520398""",Completed,"""CID2401894""",Premier Sedan,Model Town,Sohna Road,14.0,26.6,,,,,,,596.0,21.54,3.9,3.0,Cash
2024-07-24,11:22:04,"""CNR4528515""",Completed,"""CID3639491""",Bike,Badarpur,Qutub Minar,7.7,39.9,,,,,,,128.0,13.6,3.2,4.9,Uber Wallet
2024-01-01,23:12:03,"""CNR1917264""",Completed,"""CID7411649""",Bike,Akshardham,Chhatarpur,7.5,24.3,,,,,,,843.0,38.37,4.6,3.2,Cash
2024-05-27,09:44:02,"""CNR4491467""",Completed,"""CID7645127""",Bike,Kashmere Gate,Hauz Khas,6.3,18.2,,,,,,,131.0,12.81,4.3,3.3,UPI
2024-11-24,13:18:20,"""CNR5197690""",Completed,"""CID6665996""",Go Sedan,Shahdara,Rohini West,11.2,37.6,,,,,,,220.0,20.21,4.1,4.4,UPI
2024-08-20,07:26:46,"""CNR6013833""",Completed,"""CID1157311""",Go Mini,Indraprastha,Samaypur Badli,14.9,37.4,,,,,,,93.0,8.54,4.3,4.0,UPI
2024-11-04,08:47:02,"""CNR3423627""",Completed,"""CID4745629""",Premier Sedan,Saket A Block,New Delhi Railway Station,13.4,36.6,,,,,,,789.0,15.93,3.5,4.7,Cash
2024-04-23,19:35:00,"""CNR7803447""",Completed,"""CID2347649""",Go Sedan,DLF Phase 3,New Colony,5.5,16.6,,,,,,,846.0,43.12,3.7,4.9,UPI
2024-03-25,08:52:01,"""CNR1031321""",No Driver Found,"""CID7491310""",Go Mini,Civil Lines Gurgaon,Rohini,,,,,,,,,,,,,
2024-10-30,09:01:38,"""CNR2228228""",Cancelled by Driver,"""CID8706260""",Go Mini,New Colony,IIT Delhi,12.0,,,,1.0,Customer related issue,,,,,,,
2024-04-17,20:58:28,"""CNR8185299""",Cancelled by Driver,"""CID3544538""",Go Sedan,Vishwavidyalaya,Badarpur,9.6,,,,1.0,Personal & Car related issues,,,,,,,
2024-07-09,07:04:35,"""CNR4428079""",Cancelled by Customer,"""CID3408525""",Bike,Gurgaon Sector 29,Sarojini Nagar,17.7,,1.0,Driver asked to cancel,,,,,,,,,
2024-06-09,21:04:51,"""CNR7912924""",Cancelled by Driver,"""CID1778676""",Go Mini,Netaji Subhash Place,Badshahpur,10.4,,,,1.0,Personal & Car related issues,,,,,,,
2024-12-01,10:41:34,"""CNR3963262""",Completed,"""CID2150302""",Go Sedan,Ashok Vihar,Vatika Chowk,14.3,44.0,,,,,,,565.0,12.12,3.7,4.6,Uber Wallet
2024-09-24,11:47:40,"""CNR3514194""",Cancelled by Driver,"""CID8038372""",Go Sedan,Ardee City,Sikanderpur,3.0,,,,1.0,Customer related issue,,,,,,,
2024-08-13,22:50:14,"""CNR4167517""",Completed,"""CID3175057""",Auto,Badshahpur,Greater Noida,12.6,41.3,,,,,,,709.0,41.58,4.2,4.6,UPI
2024-11-25,20:53:14,"""CNR1888991""",Completed,"""CID6745084""",Premier Sedan,Samaypur Badli,Badshahpur,7.8,16.1,,,,,,,222.0,32.26,4.8,4.9,Cash
2024-02-02,09:10:30,"""CNR2631788""",Incomplete,"""CID8325987""",Go Sedan,Maidan Garhi,Laxmi Nagar,9.6,27.8,,,,,1.0,Vehicle Breakdown,432.0,2.97,,,Cash
2024-01-04,07:02:00,"""CNR3045253""",Cancelled by Driver,"""CID2537714""",Go Mini,Manesar,Panipat,7.1,,,,1.0,Personal & Car related issues,,,,,,,
2024-06-06,07:08:25,"""CNR3964892""",Completed,"""CID8079631""",Go Sedan,Raj Nagar Extension,Manesar,8.8,21.5,,,,,,,339.0,23.1,4.6,4.8,Uber Wallet
2024-10-29,18:22:37,"""CNR5558422""",Completed,"""CID2956647""",Go Sedan,Khandsa,Peeragarhi,4.9,29.5,,,,,,,426.0,31.67,4.3,4.8,Uber Wallet
2024-02-17,19:37:26,"""CNR5957412""",Incomplete,"""CID2957338""",Go Mini,Indraprastha,Panchsheel Park,7.3,17.5,,,,,1.0,Vehicle Breakdown,117.0,10.7,,,UPI
2024-08-08,09:28:59,"""CNR5073667""",Completed,"""CID1631815""",eBike,Indirapuram,Bhikaji Cama Place,14.7,35.2,,,,,,,715.0,48.93,4.2,4.6,UPI
2024-06-17,06:37:14,"""CNR5861039""",Completed,"""CID8089321""",Go Sedan,Raj Nagar Extension,Pataudi Chowk,7.6,44.7,,,,,,,717.0,13.16,4.6,4.9,Cash
2024-06-20,18:17:35,"""CNR3686481""",Cancelled by Driver,"""CID8805657""",Premier Sedan,Khandsa,Gwal Pahari,11.4,,,,1.0,Customer related issue,,,,,,,
2024-02-15,11:46:43,"""CNR9427701""",No Driver Found,"""CID4599926""",Auto,Chirag Delhi,Raj Nagar Extension,,,,,,,,,,,,,
2024-12-13,17:33:20,"""CNR8147153""",Completed,"""CID7910877""",Uber XL,Noida Film City,Ambience Mall,5.7,44.1,,,,,,,363.0,38.07,4.5,4.2,UPI
2024-06-11,15:04:54,"""CNR2164800""",Completed,"""CID9290818""",Premier Sedan,Ashok Park Main,Punjabi Bagh,11.7,23.5,,,,,,,416.0,21.26,4.9,4.3,UPI
2024-12-02,09:31:21,"""CNR3180462""",Completed,"""CID4456675""",Go Mini,Yamuna Bank,Mansarovar Park,3.3,23.8,,,,,,,587.0,43.75,4.3,3.2,Debit Card
2024-08-10,19:17:29,"""CNR3326752""",Completed,"""CID2830734""",Auto,INA Market,Kadarpur,3.0,16.9,,,,,,,225.0,22.74,3.2,4.3,Debit Card
2024-08-31,11:43:45,"""CNR6406253""",Completed,"""CID6498929""",Auto,Manesar,Huda City Centre,5.4,26.6,,,,,,,275.0,35.85,3.6,4.3,UPI
2024-07-08,19:41:34,"""CNR2389860""",No Driver Found,"""CID2779056""",Auto,Vinobapuri,Sohna Road,,,,,,,,,,,,,
